City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,mount pearl,47.5166,-52.7813,77.45,78,20,9.22,CA,1694031422
66,gebeit,21.0667,36.3167,91.08,20,0,6.71,SD,1694031422
67,yellowknife,62.456,-114.3525,63.41,59,75,8.05,CA,1694031423
68,vilyuysk,63.7553,121.6247,26.55,96,16,5.17,RU,1694031423
69,vorgashor,67.5833,63.95,51.08,78,96,7.9,RU,1694031423
70,kasongo,-4.45,26.6667,76.33,64,44,2.59,CD,1694031424
71,le mars,42.7942,-96.1656,76.51,31,0,9.22,US,1694031424
72,port mathurin,-19.6833,63.4167,72.73,74,3,13.98,MU,1694031424
73,mccook,40.2019,-100.6257,81.05,30,0,0.0,US,1694031424
74,laguna,38.421,-121.4238,88.09,40,0,8.05,US,1694031424
